2026-02-06T09:00:00Z INFO  request_id=REQ-021263 ip=198.51.100.91 method=POST path=/api/profile status=200 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:01Z INFO  request_id=REQ-242962 ip=198.51.100.216 method=GET path=/api/campaign/1817/creative status=201 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0" headline="Fronx & GV - FEB 2026"
2026-02-06T09:00:02Z INFO  request_id=REQ-957248 ip=203.0.113.118 method=POST path=/api/profile status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:03Z INFO  request_id=REQ-745391 ip=198.51.100.24 method=GET path=/api/login status=200 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:04Z INFO  request_id=REQ-535425 ip=192.0.2.175 method=GET path=/api/upload status=204 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
2026-02-06T09:00:05Z INFO  request_id=REQ-449825 ip=192.0.2.130 method=GET path=/api/profile status=404 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:06Z INFO  request_id=REQ-575030 ip=198.51.100.225 method=PUT path=/api/campaign/1817/creative status=200 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:07Z INFO  request_id=REQ-040771 ip=198.51.100.243 method=POST path=/api/search?q=1%20union%20select%20username,password%20from%20users status=404 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:08Z INFO  request_id=REQ-976736 ip=198.51.100.113 method=DELETE path=/api/login status=201 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:09Z INFO  request_id=REQ-550700 ip=192.0.2.221 method=PUT path=/api/login status=404 ua="Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/144.0.0.0"
2026-02-06T09:00:10Z INFO  request_id=REQ-578524 ip=198.51.100.49 method=GET path=/api/login status=401 ua="Mozilla/5.0 (X11; Linux x86_64) Firefox/122.0"
2026-02-06T09:00:11Z INFO  request_id=REQ-066078 ip=192.0.2.64 method=POST path=/api/campaign/1817/creative status=404 ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0"
